Employee ID,Department,Work Hours,Training Hours,Absenteeism Rate,Productivity Score,Satisfaction Score,Revenue Generated,Turnover Status
EMP0001,HR,45,37,4.07,61,1.7,3956.61,Yes
EMP0002,Sales,27,29,4.12,72,2.3,4670.09,Yes
EMP0003,Sales,30,36,4.73,84,3.8,5448.44,No
EMP0004,HR,25,18,9.54,67,3.9,4345.78,Yes
EMP0005,Marketing,51,38,1.07,61,3.7,3956.61,No
EMP0006,Marketing,32,33,9.31,64,2.3,4151.19,Yes
EMP0007,Finance,34,19,13.65,62,1.6,4021.47,No
EMP0008,IT,20,25,2.0,88,2.1,5707.89,No
EMP0009,Finance,34,24,11.44,94,2.6,6097.07,No
EMP0010,Sales,34,19,0.13,82,2.2,5318.72,No
EMP0011,Sales,27,3,0.89,85,3.4,5513.3,No
EMP0012,IT,54,9,13.99,79,4.0,5124.13,Yes
EMP0013,HR,27,39,5.7,68,1.5,4410.64,No
EMP0014,HR,36,9,4.3,85,4.3,5513.3,No
EMP0015,IT,50,25,4.82,80,2.1,5188.99,No
EMP0016,Sales,49,6,1.92,97,1.9,6291.65,Yes
EMP0017,HR,31,34,0.61,83,3.5,5383.58,No
EMP0018,IT,29,36,11.36,69,3.3,4475.51,Yes
EMP0019,Marketing,31,2,7.53,88,2.3,5707.89,No
EMP0020,Sales,32,10,2.61,80,2.2,5188.99,No
EMP0021,Finance,42,34,12.23,75,3.4,4864.68,No
EMP0022,HR,33,35,13.23,84,3.7,5448.44,No
EMP0023,Sales,44,17,9.58,86,2.1,5578.17,No
EMP0024,HR,34,33,6.72,93,4.1,6032.2,No
EMP0025,Marketing,40,20,2.17,62,4.4,4021.47,Yes
EMP0026,Marketing,46,19,8.14,97,2.0,6291.65,No
EMP0027,Sales,22,30,0.65,89,3.2,5772.75,Yes
EMP0028,Finance,38,13,3.92,72,1.3,4670.09,No
EMP0029,Finance,50,22,3.58,95,3.1,6161.93,Yes
EMP0030,HR,59,37,4.1,99,1.8,6421.38,No
EMP0031,Marketing,32,31,0.17,84,1.3,5448.44,Yes
